Timestamp,Raw_Signal,Interpretation
2026-03-05T19:53:01.361466,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:02.483383,40.0,RESTING STATE
2026-03-05T19:53:02.597579,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:03.720493,40.0,RESTING STATE
2026-03-05T19:53:03.839008,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:04.961529,40.0,RESTING STATE
2026-03-05T19:53:05.075930,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:06.202219,40.0,RESTING STATE
2026-03-05T19:53:06.317287,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:07.439538,40.0,RESTING STATE
2026-03-05T19:53:07.558273,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:08.680237,40.0,RESTING STATE
2026-03-05T19:53:08.795191,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:09.917468,40.0,RESTING STATE
2026-03-05T19:53:10.036251,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:11.157609,40.0,RESTING STATE
2026-03-05T19:53:11.276360,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:12.399349,40.0,RESTING STATE
2026-03-05T19:53:12.513555,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:13.636190,40.0,RESTING STATE
2026-03-05T19:53:13.754002,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:14.876447,40.0,RESTING STATE
2026-03-05T19:53:14.991601,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:16.113925,40.0,RESTING STATE
2026-03-05T19:53:16.233074,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:17.354113,40.0,RESTING STATE
2026-03-05T19:53:17.473609,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:18.595349,40.0,RESTING STATE
2026-03-05T19:53:18.710857,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:19.833048,40.0,RESTING STATE
2026-03-05T19:53:19.951541,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:21.073791,40.0,RESTING STATE
2026-03-05T19:53:21.192154,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:22.315786,40.0,RESTING STATE
2026-03-05T19:53:22.429839,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:23.551310,40.0,RESTING STATE
2026-03-05T19:53:23.670811,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:24.792610,40.0,RESTING STATE
2026-03-05T19:53:24.907754,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:26.030167,40.0,RESTING STATE
2026-03-05T19:53:26.147841,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:27.270336,40.0,RESTING STATE
2026-03-05T19:53:27.389860,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:28.511537,40.0,RESTING STATE
2026-03-05T19:53:28.626959,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:29.748711,40.0,RESTING STATE
2026-03-05T19:53:29.867368,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:30.989568,40.0,RESTING STATE
2026-03-05T19:53:31.108088,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:32.230599,40.0,RESTING STATE
2026-03-05T19:53:32.345340,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:33.467987,40.0,RESTING STATE
2026-03-05T19:53:33.586917,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:34.708288,40.0,RESTING STATE
2026-03-05T19:53:34.822990,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:35.945397,40.0,RESTING STATE
2026-03-05T19:53:36.064155,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:37.186557,40.0,RESTING STATE
2026-03-05T19:53:37.305218,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:38.426826,40.0,RESTING STATE
2026-03-05T19:53:38.542361,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:39.663579,40.0,RESTING STATE
2026-03-05T19:53:39.782841,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:40.905408,40.0,RESTING STATE
2026-03-05T19:53:41.023813,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:42.146300,40.0,RESTING STATE
2026-03-05T19:53:42.260949,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:43.382835,40.0,RESTING STATE
2026-03-05T19:53:43.502126,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:44.624472,40.0,RESTING STATE
2026-03-05T19:53:44.739282,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:45.861427,40.0,RESTING STATE
2026-03-05T19:53:45.980158,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:47.102414,40.0,RESTING STATE
2026-03-05T19:53:47.220991,8.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:48.343318,40.0,RESTING STATE
2026-03-05T19:53:48.457722,9.0,ACTIVE THOUGHT DETECTED
2026-03-05T19:53:49.579864,40.0,RESTING STATE
